<div style="text-align: center; font-size: 12px;">Номер<br />п/п</div>	<div style="text-align: center; font-size: 12px;">Наименование показателя</div>	<div style="text-align: center; font-size: 12px;">Данные на начало отчетного периода	<div style="text-align: center; font-size: 12px;">Прирост (+)/<br />снижение (—)<br />за отчетный период</div>	<div style="text-align: center; font-size: 12px;">Данные на соответ&shy;ствую&shy;щую дату отчетного периода</div>
1	Собственные средства (капитал) (тыс. руб.), всего, в том числе:	550 820	94 418	645 238 
1.1	Уставный капитал кредитной организации, в том числе:	34 965	0	34 965 
1.1.1	Номинальная стоимость зарегистрированных обыкновенных акций (долей)	34 950	0	4 950 
1.1.2	Номинальная стоимость зарегистрированных привилегированных акций	15	0	15 
1.1.3	Незарегистрированная величина уставного капитала неакционерных кредитных организаций	0	0	0
1.2	Собственные акции (доли), выкупленные у акционеров (участников)	0	0	0
1.3	Эмиссионный доход	0	0	0
1.4	Резервный фонд кредитной организации	5 245	0	5 245 
1.5	Нераспределенная прибыль (непокрытые убытки):	344 337	103 632	447 969 
1.5.1	прошлых лет	318 903	42 712	361 615 
1.5.2	отчетного года	25 434	60 920	86 354 
1.6	Нематериальные активы	15	-2	13 
1.7	Субординированный кредит (заем, депозит, облигационный заем) по остаточной стоимости	50 000	-5 000	45 000 
1.8	Источники (часть источников) капитала, для формирования которых инвесторами использованы ненадлежащие активы	0	0	0
2	Нормативное значение достаточности собственных средств (капитала) (процентов)	10	Х	10 
3	Фактическое значение достаточности собственных средств (капитала) (процентов)	13,0	Х	14,4 
4	Фактически сформированные резервы на возможные потери (тыс. руб.), всего, в том числе:	330 214	157 228	487 442 
4.1	по ссудам, ссудной и приравненной к ней задолженности	291 037	163 769	454 806 
4.2	по иным активам, по которым существует риск понесения потерь, и прочим потерям	10 971	-5 412	5 559 
4.3	по условным обязательствам кредитного характера, отраженным на внебалансовых счетах, и срочным сделкам	28 206	-1 129	27 077 
4.4	под операции с резидентами офшорных зон	0	0	0